RAMA (RUS),"TIPO DE ACTIVIDAD (""Tipo 02_16"" del RUS)",CANTIDAD DE RELEVAMIENTOS,REMOTICIDAD FINAL,HERRAMIENTAS DE FABRICACIÓN,POSIBILIDAD DE DISTRIBUCIÓN,NECESIDAD DE TRASLADO CONSUMIDOR,EVALUACIÓN PRESENCIAL DE LA CALIDAD,VENTA EXPERIENCIA PRESENCIAL,HÁBITO DE CONSUMO REMOTO,USOS NO COMERCIALES,REMOTO FULL,REMOTO HUB,REMOTO MIX,R. COMPLEJO,NO REMOTO
VENTA Y REP. DE VEHICULOS AUTOMOTORES,TALLER DE SUSPENSION AUTOMOTORES,58,remotoNo,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,3,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,ACCESORIOS AUTOMOTOR,256,remotoMix,Maquinaria liviana,Factible de manera eficiente,Opcional,Opcional,No agrega valor,Público remoto considerable,,2,4,5,2,3
EDIFICIOS,VU - VIVIENDA UNICA,15738,viviendaSi,,,,,,,viviendaSi,,,,,
HOTELERIA Y GASTRONOMIA,RESTAURANTE - BAR,452,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,TALLER MECANICO DE AUTOMOTORES,3523,remotoNo,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,3,4
EDIFICIOS,USO UNICO,1596,sinUso,,,,,,,sinUso,,,,,
COMERCIO,MAXIKIOSCO,1999,remotoHub,Herramientas manuales,"Factible, no eficiente",No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,2,3,3,3,1
COMERCIO,FERRETERIA,1094,remotoMix,Herramientas manuales,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,1
COMERCIO,KIOSCO,2307,remotoHub,Herramientas manuales,"Factible, no eficiente",No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,2,3,3,3,1
EDIFICIOS,ABANDONADO,2146,sinUso,,,,,,,sinUso,,,,,
EDIFICIOS,CERRADO,1180,sinUso,,,,,,,sinUso,,,,,
EDIFICIOS,EDIFICIO PRODUCTIVO,6622,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
EDICION E IMPRESIÓN,IMPRENTA,632,remotoHub,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
VIAS TREN,VIAS TREN,92,espacioPublico,,,,,,,espacioPublico,,,,,
EDIFICIOS,EDU,2176,remotoNo,Infraestructura considerable,"Factible, no eficiente",Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,4,5
COMERCIO,FLORES,102,remotoMix,Herramientas manuales,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,2
SERVICIOS DE ASOCIACIONES,IGLESIA,479,remotoComplex,Infraestructura considerable,Factible de manera eficiente,Performance,No requiere,Es excluyente,Público remoto potencial,,1,2,2,5,4
SERVICIOS DE ASOCIACIONES,CENTRO DE JUBILADOS,260,remotoNo,Infraestructura considerable,No se distribuyen,Performance,No requiere,Es excluyente,Sin público remoto,,1,1,0,3,5
SERVICIOS DE ASOCIACIONES,ASOCIACION CIVIL,231,remotoComplex,No requiere,No se distribuyen,Performance,No requiere,Es excluyente,Público remoto potencial,,2,1,1,3,3
GALPON,GALPON,832,remotoNo,Infraestructura considerable,No se distribuyen,No requiere,Presencial,No agrega valor,Sin público remoto,,2,2,1,2,4
FABRICACION DE MAQUINARIA Y APARATOS ELECTRICOS NCP,LETREROS LUMINOSOS,7,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,3,5,4,3
LOTE,LOTE,2311,sinUso,,,,,,,sinUso,,,,,
UNIFICADO,UNIFICADO LOTE,759,sinUso,,,,,,,sinUso,,,,,
COMERCIO,ALMACEN + VERDULERIA,63,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
FABRICACION DE MAQUINARIA Y APARATOS ELECTRICOS NCP,FABRICACION DE ART. DE ILUMINACION,4,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,MARMOLES,63,remotoHub,Infraestructura considerable,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,4,3,2,3
ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,CONFITERIA Y PANADERIA (ELABORACION),506,remotoHub,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO POR MAYOR,VENTA DE METALES,52,remotoHub,Infraestructura considerable,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,5,2,2,3
SERVICOS SOCIALES Y DE SALUD,LABORATORIO DE ANALISIS BIOQUIMICOS,21,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
"FABRICACION DE MUEBLES Y COLCHONES, INDUSTRIAS MANUFACTURERAS",FABRICA DE MUEBLES MADERA,48,remotoMix,Maquinaria pesada,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
ENSEÑANZA,YOGA,108,remotoComplex,No requiere,No se distribuyen,Se traslada una persona,No requiere,Es excluyente,Público remoto potencial,,2,1,1,3,3
COMERCIO,SUPERMERCADO,2628,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
COMERCIO,FLORES Y PLANTAS,89,remotoComplex,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto incipiente,,1,3,4,5,5
UNIFICADO,UNIFICADO LOCAL,397,sinUso,,,,,,,sinUso,,,,,
HOTELERIA Y GASTRONOMIA,PIZZAS Y EMPANADAS P/LLEVAR,259,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
UNIFICADO,U GARAGE PRIVADO,154,viviendaSi,,,,,,,viviendaSi,,,,,
"ELECTRICIDAD, GAS Y AGUA",DISTRIBUCION DE ENERGIA ELECTRICA,161,remotoHub,Infraestructura considerable,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,5,2,2,3
HOTELERIA Y GASTRONOMIA,CAFE,668,remotoMix,Maquinaria liviana,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
SERVICIOS COMPLEMENTARIOS AL TRANSPORTE,GARAGE,2783,viviendaSi,,,,,,,viviendaSi,,,,,
COMERCIO,GALLETITAS (VENTA NO ELAB.),14,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
SERVICIO DE TRANSPORTE,TRANSPORTE,182,remotoComplex,Infraestructura considerable,Fundamental,Se traslada una persona,No requiere,Agrega mucho valor,Público remoto potencial,,1,2,3,5,4
COMERCIO,MUEBLES (VENTA),1114,remotoMix,Infraestructura considerable,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
FABRICACION DE PRODUCTOS QUIMICOS NCP,FABRICACION DE PINTURAS,5,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
OTROS SERVICIOS,PELUQUERIA,3187,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,1,4,5,3
COMERCIO,LIBRERIA COMERCIAL,1000,remotoMix,Infraestructura considerable,Fundamental,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
COMERCIO,VERDULERIA Y FRUTERIA,565,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,MERCERIA,431,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,KIOSCO + ALMACEN,130,remotoMix,Herramientas manuales,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,2
ENSEÑANZA,COLEGIO,508,remotoNo,Infraestructura considerable,Factible de manera eficiente,Se traslada una persona,Opcional,Es excluyente,Sin público remoto,,0,1,2,4,5
COMERCIO,PINTURERIA,348,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
SERVICIOS EMPRESARIALES,CARTELES,49,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
SERVICIO DE TRANSPORTE URBANO DE CARGA,LOGISTICA Y DISTRIBUCION,110,remotoHub,Infraestructura considerable,Fundamental,Se traslada un bien,No requiere,No agrega valor,Público remoto considerable,,3,4,2,3,4
FABRICACION DE SUSTANCIAS Y PRODUCTOS QUIMICOS,FABRICACION DE PROD. QUIMICOS,15,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
"FABRICACION DE AUTOPARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES Y SUS MOTORES",FABRICACION DE AUTOPARTES,16,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
SERVICIOS EMPRESARIALES,ESTUDIO JURIDICO,514,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto incipiente,,4,2,1,1,1
COMERCIO,CALZADO,1612,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,3,4,4,4
HOTELERIA Y GASTRONOMIA,COMIDAS PARA LLEVAR,816,remotoHub,Maquinaria liviana,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
EDIFICIOS,EN OBRA,2019,enConstruccion,,,,,,,enConstruccion,,,,,
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",COMISARIA,46,servicioSi,,,,,,,servicioSi,,,,,
COMERCIO,ALMACEN,1080,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,ARTICULOS DE DECORACION,252,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,PUESTO DIARIOS,1883,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
INSTALACIONES PARA EDIFICIOS Y OBRAS DE INGENIERIA CIVIL,ASCENSORES,21,remotoNo,Infraestructura considerable,Fundamental,No puede trasladarse,Presencial,No agrega valor,Sin público remoto,,1,3,3,3,4
HOTELERIA Y GASTRONOMIA,BAR,1465,remotoMix,Infraestructura chica,"Factible, no eficiente",Opcional,Opcional,Agrega mucho valor,Sin público remoto,,0,1,4,3,4
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",ORGANISMOS PUBLICOS MUNICIPALES,148,servicioSi,,,,,,,servicioSi,,,,,
HOTELERIA Y GASTRONOMIA,RESTAURANTE - CAFE,109,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,FABRICA DE PASTAS,377,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,LAVADERO DE AUTOS,212,remotoNo,Infraestructura considerable,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega mucho valor,Sin público remoto,,0,0,2,4,5
COMERCIO,OPTICA,745,remotoMix,Herramientas manuales,Factible de manera eficiente,Se traslada una persona,Presencial,Agrega algo de valor,Sin público remoto,,0,2,4,4,4
COMERCIO,HERRERIA,257,remotoMix,Maquinaria pesada,Factible de manera eficiente,Opcional,Presencial,No agrega valor,Sin público remoto,,1,3,4,3,4
COMERCIO,TELAS (VENTA),624,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,3
HOTELERIA Y GASTRONOMIA,PARRILLA,444,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
SERVICIOS DE ASOCIACIONES,ASOCIACION VECINAL,46,remotoFull,No requiere,No se distribuyen,No requiere,No requiere,No agrega valor,Público remoto potencial,,4,3,1,1,1
OTROS SERVICIOS,SEPELIOS,82,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Es excluyente,Sin público remoto,,1,2,1,3,5
UNIFICADO,UNIFICADO GALPON,152,sinUso,,,,,,,sinUso,,,,,
ENSEÑANZA,ENSEÑANZA,398,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
ENSEÑANZA,JARDIN DE INFANTES,433,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
SERVICOS SOCIALES Y DE SALUD,CENTRO DE SALUD,124,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
OTROS SERVICIOS,PEDICURIA,44,remotoMix,Infraestructura chica,Factible de manera eficiente,Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,2,5,5,4
SERVICIO DE TRANSPORTE,REMISERIA,520,remotoNo,Infraestructura chica,Fundamental,Se traslada una persona,No requiere,Agrega mucho valor,Público remoto considerable,,2,4,4,4,5
SERVICIOS EMPRESARIALES,CASA DE FOTOGRAFIA,202,remotoComplex,Maquinaria liviana,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,3
SERVICIOS EMPRESARIALES,INGENIERIA CIVIL,8,remotoFull,No requiere,Digital,No puede trasladarse,No requiere,Agrega algo de valor,Público remoto potencial,,3,2,3,1,0
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",POLICIA,46,servicioSi,,,,,,,servicioSi,,,,,
LOTE,PLAZA,633,espacioPublico,,,,,,,espacioPublico,,,,,
PLAZOLETA,PLAZOLETA,764,espacioPublico,,,,,,,espacioPublico,,,,,
COMERCIO,PUESTO FLORES,485,remotoComplex,Herramientas manuales,"Factible, no eficiente",No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,2,4,5,3
INTERMEDIACION FINANCIERA Y AUXILIARES,BANCO,845,remotoMix,Infraestructura chica,Digital,Opcional,No requiere,Agrega algo de valor,Público remoto considerable,,3,3,4,1,2
COMERCIO,I FEMENINA,6098,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
COMERCIO,GRANJA,532,remotoMix,Infraestructura considerable,Fundamental,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,3
COMERCIO,I MASCULINA,1503,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
COMERCIO,I,2951,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
COMERCIO,CASA DE DEPORTES,48,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
COMERCIO,ARTICULOS DE LIMPIEZA,330,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,No requiere,No agrega valor,Público remoto potencial,,3,5,3,3,2
COMERCIO,BAZAR,704,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,2,3,4,4
COMERCIO,LENCERIA,979,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
COMERCIO,KIOSCO + BAR,21,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
COMERCIO,FIAMBRERIA Y QUESERIA,229,remotoComplex,Maquinaria liviana,"Factible, no eficiente",No requiere,Presencial,Agrega mucho valor,Público remoto incipiente,,1,2,3,5,5
ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,PANADERIA (ELABORACION),553,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto considerable,,2,4,5,4,5
SERVICIO DE CORREO Y TELECOMUNICACIONES,CORREO,148,remotoComplex,Infraestructura considerable,Fundamental,Se traslada un bien,No requiere,Agrega algo de valor,Público remoto potencial,,1,2,3,4,3
SERVICIO DE CORREO Y TELECOMUNICACIONES,LOCUTORIO + KIOSCO,82,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
HOTELERIA Y GASTRONOMIA,PIZZERIA,824,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,MARROQUINERIA,400,remotoComplex,Maquinaria liviana,"Factible, no eficiente",Se traslada un bien,Presencial,Agrega algo de valor,Público remoto incipiente,,0,1,3,5,5
COMERCIO,FARMACIA,1016,remotoMix,Infraestructura chica,"Factible, no eficiente",Opcional,No requiere,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
INTERMEDIACION FINANCIERA Y AUXILIARES,SERVICIOS FINANCIEROS,93,remotoFull,Digital,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,4,2,2,1,0
SERVICIO DE CORREO Y TELECOMUNICACIONES,TELEFONIA CELULAR,433,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,No requiere,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,MAXIKIOSCO + LOCUTORIO,209,remotoNo,Maquinaria liviana,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega algo de valor,Sin público remoto,,0,1,3,3,4
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",LOTERIA,1199,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,No requiere,Agrega mucho valor,Público remoto incipiente,,2,3,2,4,4
COMERCIO,DIETETICA,592,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,CARNICERIA,650,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
COMERCIO,PESCADERIA,138,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
COMERCIO,VERDULERIA,1450,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
HOTELERIA Y GASTRONOMIA,CAFE BAR,959,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Sin público remoto,,1,3,4,3,4
SERVICOS SOCIALES Y DE SALUD,ODONTOLOGIA,295,remotoNo,Maquinaria pesada,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
UNIFICADO,UNIFICADO EDU,712,remotoNo,Infraestructura considerable,"Factible, no eficiente",Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,5,6
COMERCIO,"ALFOMBRAS, PAPELES PARA PAREDES",29,remotoHub,Infraestructura chica,Fundamental,No requiere,Presencial,No agrega valor,Público remoto incipiente,,2,4,3,4,4
COMERCIO,MATERIALES PARA LA CONSTRUCCION,239,remotoHub,Infraestructura considerable,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,4,3,2,3
COMERCIO,AUTOSERVICIO DE COMESTIBLES,88,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
INTERMEDIACION FINANCIERA Y AUXILIARES,CAJERO AUTOMATICO,40,remotoNo,Maquinaria pesada,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
HOTELERIA Y GASTRONOMIA,ALBERGUE TRANSITORIO,171,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
COMERCIO,LIBROS (VENTA),467,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,ACCESORIOS DE VESTIR,474,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
HOTELERIA Y GASTRONOMIA,RESTAURANTE,1699,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,ACCESORIOS PARA CELULARES,356,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Opcional,Agrega algo de valor,Público remoto considerable,,1,3,6,2,3
COMERCIO,I FEMENINA Y NIÑOS,74,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
SERVICIO DE HOTELERIA Y RESTAURANTES,HOTEL,1033,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
COMERCIO,ARTICULOS ELECTRONICOS,249,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Opcional,Agrega mucho valor,Público remoto considerable,,1,3,6,3,4
SERVICIOS COMPLEMENTARIOS AL TRANSPORTE,AGENCIA DE VIAJES Y TURISMO,453,remotoFull,No requiere,Factible de manera eficiente,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,4,4,3,1,2
HOTELERIA Y GASTRONOMIA,BAR + KIOSCO,21,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,2,3,4,4
COMERCIO,COSMETICOS,68,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto considerable,,2,3,4,3,4
SERVICOS SOCIALES Y DE SALUD,CENTRO MEDICO,512,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,MAQUINAS DE COSER,105,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Opcional,No agrega valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,I BEBES Y NIÑOS,1483,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
COMERCIO,CARTERAS,218,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
COMERCIO,PERFUMERIA,445,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
SERVICIOS INMOBILIARIOS,INMOBILIARIA,2387,remotoFull,No requiere,Digital,No requiere,Presencial,Agrega algo de valor,Público remoto considerable,,4,2,3,1,2
EDICION E IMPRESIÓN,EDITORIAL,55,remotoMix,Maquinaria pesada,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
SERVICIOS COMPLEMENTARIOS AL TRANSPORTE,ALQUILER COCHERAS MENSUALES,158,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada un bien,Opcional,Agrega algo de valor,Sin público remoto,,0,0,2,2,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,NEUMATICOS (VENTA),51,remotoComplex,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Público remoto incipiente,,1,2,2,4,4
